正式法令名,法令番号,略称法令名１,略称法令名２,略称法令名３,略称法令名４
移動等円滑化のために必要な特定路外駐車場の構造及び設備に関する基準を定める省令,平成十八年国土交通省令第百十二号,路外駐車場移動等円滑化基準,,,
高齢者、障害者等が円滑に利用できるようにするために誘導すべき建築物特定施設の構造及び配置に関する基準を定める省令,平成十八年国土交通省令第百十四号,建築物移動等円滑化誘導基準,,,
移動等円滑化のために必要な特定公園施設の設置に関する基準を定める省令,平成十八年国土交通省令第百十五号,都市公園移動等円滑化基準,,,
移動等円滑化のために必要な道路の構造及び旅客特定車両停留施設を使用した役務の提供の方法に関する基準を定める省令,平成十八年国土交通省令第百十六号,道路移動等円滑化基準,,,
豪雪地帯対策特別措置法施行令第二条第二項の額の算定に関する省令,平成十八年総務省・農林水産省・国土交通省令第一号,豪雪地帯特措法施行令第二条第二項の額の算定に関する省令,豪雪法施行令第二条第二項の額の算定に関する省令,豪雪対策法施行令第二条第二項の額の算定に関する省令,豪雪特措法施行令第二条第二項の額の算定に関する省令
火薬類取締法の規定に基づく意見の聴取の手続に関する規則,平成十八年経済産業省・国土交通省令第二号,火取法の規定に基づく意見の聴取の手続に関する規則,,,
中心市街地の活性化に関する法律第十五条第三項の中心市街地活性化協議会の組織の公表に関する命令,平成十八年内閣府・経済産業省・国土交通省令第二号,中心市街地活性化法第十五条第三項の中心市街地活性化協議会の組織の公表に関する命令,,,
動物の愛護及び管理に関する法律施行規則,平成十八年環境省令第一号,動物愛護法施行規則,動管法施行規則,,
特定特殊自動車排出ガスの規制等に関する法律施行規則,平成十八年経済産業省・国土交通省・環境省令第一号,オフロード法施行規則,,,
特定特殊自動車排出ガスの規制等に関する法律に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,平成十八年経済産業省・国土交通省・環境省令第二号,特定特殊自動車排出ガス規制法に係る民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行規則,,,
私的独占の禁止及び公正取引の確保に関する法律第十条第三項に規定する保険業を営む会社から除くものとして公正取引委員会規則で定める会社を定める規則,平成十八年公正取引委員会規則第一号,独占禁止法第十条第三項に規定する保険業を営む会社から除くものとして公正取引委員会規則で定める会社を定める規則,独禁法第十条第三項に規定する保険業を営む会社から除くものとして公正取引委員会規則で定める会社を定める規則,,
犯罪による収益の移転防止に関する法律,平成十九年法律第二十二号,犯罪収益移転防止法,犯収法,,
特別会計に関する法律,平成十九年法律第二十三号,特会法,特別会計法,,
国際刑事裁判所に対する協力等に関する法律,平成十九年法律第三十七号,ＩＣＣ協力法,国際刑事裁判所協力法,,
放射線を発散させて人の生命等に危険を生じさせる行為等の処罰に関する法律,平成十九年法律第三十八号,放射線発散処罰法,,,
地域経済牽引事業の促進による地域の成長発展の基盤強化に関する法律,平成十九年法律第四十号,地域未来投資促進法,,,
国家公務員の自己啓発等休業に関する法律,平成十九年法律第四十五号,自己啓発等休業法,,,
農山漁村の活性化のための定住等及び地域間交流の促進に関する法律,平成十九年法律第四十八号,農山漁村活性化法,,,
広域的地域活性化のための基盤整備に関する法律,平成十九年法律第五十二号,広域的地域活性化法,,,
地域公共交通の活性化及び再生に関する法律,平成十九年法律第五十九号,地域公共交通活性化法,地域公共交通活性化・再生法,,
特定住宅瑕疵担保責任の履行の確保等に関する法律,平成十九年法律第六十六号,住宅瑕疵担保履行法,,,
駐留軍等の再編の円滑な実施に関する特別措置法,平成十九年法律第六十七号,米軍再編法,米軍再編特措法,米軍再編特別措置法,在日米軍再編特措法
株式会社商工組合中央金庫法,平成十九年法律第七十四号,商工中金法,,,
